z   Sigma_E1   Delta_E1   Sigma_E2   Delta_E2   Sigma_E3   Delta_E3   Sigma_nuR   Delta_nuR   Delta_phi_R   Delta_er   Delta_phiR_2m   Delta_psi_L   Delta_phi_L   
0.5000028710697776   0.004084250666312511   0.0   0.003984528289445036   0.0   0.0038803197536001095   0.0   0.0035592921654217014   0.0   0.0   0.0   0.0   0.0   0.0
0.5001028710697776   0.004084250583046085   1.6274503736633084e-26   0.0039845281640316825   -6.636029481818934e-24   0.0038803196202727543   -3.245342703186095e-24   0.003559292165435441   -3.287871864740269e-20   3.287871864740269e-20   -3.287871864740269e-20   3.287871864740269e-20   -6.574755636325607e-20   -9.311743772842445e-27
0.5002028710697776   0.004084250403605768   7.019289716118676e-26   0.003984527893762803   -2.861894159329776e-23   0.0038803193329380627   -1.3996232852734525e-23   0.003559292165465062   -1.0376164786711577e-19   1.0376164786711575e-19   -1.0376164786711577e-19   1.0376164786711575e-19   -2.074806824623384e-19   -4.0160921164373345e-26
0.5012028710697775   0.004084240220929095   2.0737985277332022e-23   0.003984512560269043   -8.431515065371483e-21   0.0038803030164240196   -4.126036530184404e-21   0.003559292167153557   -4.143827326037077e-18   4.1438273260370774e-18   -4.14382732603708e-18   4.1438273260370805e-18   -8.275097682425117e-18   -1.1855209658071146e-23
0.5022028710697773   0.0040842205807709794   8.361330119882238e-23   0.003984482984784859   -3.3961108072370073e-20   0.0038802715310530997   -1.6621570393566065e-20   0.003559292170424241   -1.1968523497066315e-17   1.1968523497066315e-17   -1.196852349706634e-17   1.196852349706634e-17   -2.388646669025641e-17   -4.778367590357751e-23
0.5122028710697762   0.00408326579958027   2.1214010780692017e-20   0.003983048101733884   -8.371729837132291e-18   0.0038787316035934633   -4.123742380078139e-18   0.003559292336602156   -4.0895264400156664e-16   4.0895264400156664e-16   -4.089526440018065e-16   4.089526440018065e-16   -8.054106243683607e-16   -1.2019798501921527e-20
0.5222028710697751   0.004081522552061891   8.626573613664495e-20   0.0039804279779330955   -3.367150636146134e-17   0.0038759093059768804   -1.6615054834545123e-17   0.0035592926528531447   -1.163048173046649e-15   1.163048173046649e-15   -1.1630481730489278e-15   1.1630481730489276e-15   -2.275813385313996e-15   -4.8711869298734985e-20
0.6116048734721036   0.00404411806442095   1.0003423738640744e-17   0.003923888555296685   -3.1393046039463973e-15   0.003814294511801727   -1.6245629894822414e-15   0.003559302208097527   -2.334130531104283e-14   2.3341305311042828e-14   -2.334130531709473e-14   2.3341305317094726e-14   -4.191982344494277e-14   -5.31903730936637e-18
0.701006875874432   0.003976879109580589   5.2693604119859115e-17   0.0038225052088610243   -1.447920340372583e-14   0.0037026042047784854   -7.712348880280629e-15   0.003559323871355105   -7.203961892368682e-14   7.203961892368682e-14   -7.203961900617037e-14   7.203961900617037e-14   -1.218950879661546e-13   -2.713883912478592e-17
0.7904088782767604   0.0038943281923848297   1.639332255041826e-16   0.003698461055188694   -3.859477242596109e-14   0.0035648738372898014   -2.1293273091975843e-14   0.003559358005720818   -1.450523561371962e-13   1.4505235613719617e-13   -1.450523566401145e-13   1.450523566401145e-13   -2.3024504014500025e-13   -8.171053260028587e-17
