ME1   M_phiR   
1000000.0   420049.71982410265
1001843.7657240258   420565.8768103678
1003690.9309200966   421082.6680502032
1005541.5018560425   421600.0943229794
1007395.4848112501   422118.15640902467
1009252.8860766834   422636.8550896264
1011113.7119549077   423156.19114703225
1012977.9687601026   423676.16536444955
1014845.6628180958   424196.7785260497
1016716.8004663759   424718.0314169671
1018591.388054117   425239.92482330115
1020469.4319421989   425762.4595321169
1022350.93850323   426285.6363314466
1024235.9141215679   426809.456010291
1026124.3651933413   427333.9193586203
1028016.2981264725   427859.0271673754
1029911.7193407001   428384.7802284696
1031810.6352675929   428911.17933478765
1033713.0523505844   429438.22528019047
1035618.9770449864   429965.9188595136
1037528.4158180127   430494.26086856954
1039441.3751488007   431023.25210414856
1041357.8615284342   431552.8933640199
1043277.881459965   432083.1854469335
1045201.4414584351   432614.1291526203
1047128.5480508985   433145.7252817944
1049059.2077764457   433677.97463615396
1050993.4271862176   434210.87801838096
1052931.2128434398   434744.4362321451
1054872.5713234374   435278.65008210344
1056817.5092136585   435813.5203739013
1058766.0331136968   436349.0479141743
1060718.1496353147   436885.2335105494
1062673.8654024643   437422.0779716455
1064633.1870513114   437959.58210707555
1066596.1212302567   438497.746727447
1068562.674599962   439036.5726443645
1070532.853833363   439576.06067042775
1072506.6656157041   440116.2116192367
1074484.1166445557   440657.0263053908
1076465.213629835   441198.5055444905
1078449.9632938318   441740.6501531379
1080438.3723712296   442283.4609489392
1082430.4476091298   442826.938750505
1084426.1957670734   443371.0843774517
1086425.6236170644   443915.898650403
1088428.737943595   444461.38239099155
1090435.5455436602   445007.53642185783
1092446.053226793   445554.3615666549
1094460.2678150795   446101.8586500473
1096478.196143185   446650.02849771315
1098499.8450583755   447198.8719363451
1100525.2214205416   447748.38979365135
1102554.3321022228   448298.5828983575
1104587.183988629   448849.45208020724
1106623.7839776652   449400.9981699642
1108664.1389799572   449953.2219994131
1110708.255918865   450506.1244013591
1112756.1417305206   451059.7062096326
1114807.8033638424   451613.9682590878
1116863.2477805612   452168.911385605
1118922.481955243   452724.5364260914
1120985.5128753139   453280.84421848285
1123052.3475410829   453837.8356017445
1125122.9929657658   454395.5114158729
1127197.4561755094   454953.8725018963
1129275.7442094171   455512.91970187734
1131357.8641195642   456072.65385891154
1133443.8229710348   456633.0758171319
1135533.6278419374   457194.1864217085
1137627.2858234309   457755.9865188498
1139724.8040197487   458318.4769558041
1141826.1895482223   458881.65858086076
1143931.449539306   459445.53224335157
1146040.5911366018   460010.0987936519
1148153.6214968818   460575.3590831821
1150270.5477901162   461141.3139644094
1152391.3771994878   461707.9642908467
1154516.116921431   462275.3109170574
1156644.7741656462   462843.3546986546
1158777.3561551261   463412.0964923026
1160913.8701261822   463981.5371557185
1163054.3233284669   464551.6775476731
1165198.723025   465122.5185279929
1167347.076492192   465694.0609575604
1169499.39101987   466266.30569831654
1171655.6739113037   466839.2536132616
1173815.9324832216   467412.9055664547
1175980.1740658495   467987.2624230183
1178148.406002926   468562.32504913764
1180320.6356517298   469138.0943120621
1182496.8703831048   469714.5710801068
1184677.1175814848   470291.75622265384
1186861.3846449193   470869.6506101536
1189049.6789850972   471448.25511412625
1191242.0080273738   472027.5706071626
1193438.3792107967   472607.59796292643
1195638.7999881224   473188.3380561532
1197843.2778258559   473769.79176265525
1200051.8202042659   474351.9599593204
1202264.4346174132   474934.8435241138
1204481.128573176   475518.44333607977
1206701.909593275   476102.7602753426
1208926.7852132996   476687.79522310814
1211155.7629827324   477273.54906166514
1213388.8504649762   477860.0226743862
1215626.055237381   478447.2169457305
1217867.3848912604   479035.1327612417
1220112.8470319316   479623.7710075538
1222362.4492787325   480213.1325723896
1224616.1992650488   480803.2183445627
1226874.1046383404   481394.0292139789
1229136.1730601676   481985.5660716375
1231402.412206216   482577.8298096326
1233672.8297663245   483170.8213211547
1235947.4334445095   483764.5415004916
1238226.2309589945   484358.9912430307
1240509.2300422264   484954.1714452581
1242796.4384409157   485550.0830047627
1245087.8639160544   486146.7268202364
1247383.5142429431   486744.1037914751
1249683.3972112192   487342.2148193805
1251987.5206248814   487941.060805961
1254295.8923023173   488540.64265433385
1256608.5200763308   489140.9612687257
1258925.411794166   489742.0175544744
1261246.5753175372   490343.8124180306
1263572.0185226551   490946.3467669589
1265901.7493002452   491549.6215099374
1268235.7755555892   492153.63755676296
1270574.105208542   492758.39581834956
1272916.74619356   493363.89720673027
1275263.7064597302   493970.14263505925
1277614.9939707946   494577.1330176126
1279970.6167051794   495184.86926979007
1282330.5826560205   495793.3523081156
1284694.8998311942   496402.5830502407
1287063.5762533336   497012.5624149425
1289436.6199598715   497623.29132212856
1291814.0390030572   498234.7706928367
1294195.8414499862   498847.0014492362
1296582.0353826284   499459.9845146296
1298972.6288978546   500073.7208134541
1301367.630107464   500688.2112712827
1303767.0471382127   501303.45681482565
1306170.8881318404   501919.4583719322
1308579.161245098   502536.2168715917
1310991.874649779   503153.7332439355
1313409.0365327345   503772.008420236
1315830.6550959193   504391.0433329121
1318256.7385564074   505010.8389155276
1320687.2951464236   505631.39610279346
1323122.333113371   506252.71583056933
1325561.8607198584   506874.7990358648
1328005.8862437294   507497.6466568408
1330454.41797809   508121.25963281124
1332907.4642313367   508745.63890424406
1335365.0333271872   509370.78541276354
1337827.1336046983   509996.70010114915
1340293.7734183103   510623.3839133407
1342764.9611378643   511250.83779443736
1345240.7051486329   511879.06269069965
1347721.0138513502   512508.0595495508
1350205.8956622386   513137.8293195782
1352695.359013038   513768.37295053486
1355189.412351035   514399.69139334094
1357688.0641390905   515031.7856000851
1360191.3228556719   515664.6565240264
1362699.1969948702   516298.3051195934
1365211.695066447   516932.73234238965
1367728.8255958494   517567.93914919195
1370250.597124245   518203.92649795284
1372777.0182085487   518840.69534780225
1375308.0974214517   519478.24665904825
1377843.8433514526   520116.5813931796
1380384.2646028837   520755.70051286585
1382929.3697959431   521395.60498195974
1385479.1675667241   522036.2957654993
1388033.6665672355   522677.77382970595
1390592.875465446   523320.0401419908
1393156.8029453035   523963.09567095287
1395725.4577067674   524606.9413863813
1398298.8484658373   525251.5782592571
1400876.9839545833   525897.0072617544
1403459.8729211753   526543.2293672416
1406047.524129913   527190.2455502837
1408639.946361255   527838.056786643
1411237.148411852   528486.6640532814
1413839.1390945658   529136.0683283593
1416445.9272385144   529786.2705912413
1419057.5216890925   530437.2718224943
1421673.9313080038   531089.0730038908
1424295.1649732904   531741.6751184091
1426921.2315793638   532395.0791502356
1429552.1400370344   533049.2860847663
1432187.8992735425   533704.2969086076
1434828.5182325875   534360.1126095785
1437474.0058743623   535016.7341767127
1440124.3711755713   535674.1626002567
1442779.6231294791   536332.3988716763
1445439.770745928   536991.4439836546
1448104.823051373   537651.2989300949
1450774.7890889114   538311.9647061214
1453449.6779183142   538973.4423080812
1456129.4986160563   539635.732733546
1458814.2602753474   540298.8369813131
1461503.972006163   540962.7560514071
1464198.6429352786   541627.490945082
1466898.2822062876   542293.0426648204
1469602.8989796517   542959.4122143385
1472312.5024327193   543626.6005985856
1475027.1017597595   544294.6088237453
1477746.7061719932   544963.437897238
1480471.324897625   545633.0888277219
1483200.9671818742   546303.5626250947
1485935.642287006   546974.8603004949
1488675.359492363   547646.9828663039
1491420.1280943996   548319.9313361472
1494169.9574067022   548993.7067248943
1496924.8567600378   549668.3100486635
1499684.835502374   550343.7423248212
1502449.9029989145   551020.0045719837
1505220.0686321298   551697.0978100194
1507995.3418017894   552375.0230600494
1510775.731924994   553053.7813444502
1513561.2484362072   553733.3736868539
1516351.9007872874   554413.8011121508
1519147.6984475234   555095.0646464915
1521948.6509036536   555777.165317285
1524754.767659917   556460.1041532048
1527566.0582380733   557143.8821841882
1530382.5321774378   557828.500441438
1533204.1990349141   558513.959957424
1536031.068385027   559200.2617658846
1538863.149819954   559887.4069018285
1541700.4529495584   560575.3964015365
1544542.9874014216   561264.2313025624
1547390.76282088   561953.9126437359
1550243.7888710431   562644.441465161
1553102.0752328474   563335.818808222
1555965.631605075   564028.0457155819
1558834.4677043906   564721.1232311854
1561708.5932653737   565415.0524002591
1564588.018040553   566109.8342693152
1567472.7518004375   566805.4698861509
1570362.8043335516   567501.9602998514
1573258.1854464666   568199.3065607905
1576158.9049638358   568897.5097206336
1579064.9727284294   569596.5708323383
1581976.3986011557   570296.4909501541
1584893.1924611141   570997.2711296283
1587815.3642056156   571698.9124276043
1590742.9237502194   572401.4159022246
1593675.8810287665   573104.7826129313
1596614.245993414   573809.0136204689
1599558.028614668   574514.1099868851
1602507.2388814178   575220.0727755326
1605461.8868009737   575926.9030510716
1608421.9823990872   576634.6018794683
1611387.535720004   577343.1703280009
1614358.556826487   578052.6094652583
1617335.0557998512   578762.9203611427
1620317.0427400004   579474.1040868711
1623304.5277654591   580186.1617149762
1626297.521013409   580899.0943193091
1629296.0326397214   581612.9029750406
1632300.0728189936   582327.588758662
1635309.651744582   583043.1527479884
1638324.7796286405   583759.596022159
1641345.4667021418   584476.9196616376
1644371.7232149323   585195.1247482174
1647403.5594357532   585914.2123650203
1650440.9856522789   586634.1835964995
1653484.0121711518   587355.0395284403
1656532.6493180175   588076.7812479625
1659586.9074375597   588799.4098435214
1662646.796893535   589522.9264049104
1665712.328068812   590247.3320232623
1668783.5113653922   590972.6277910484
1671860.357204467   591698.8148020848
1674942.876026438   592425.8941515314
1678031.0782909568   593153.8669358931
1681124.9744769596   593882.7342530225
1684224.575082704   594612.4972021212
1687329.8906258033   595343.1568837416
1690440.9316432632   596074.7143997884
1693557.7086915171   596807.1708535203
1696680.2323464623   597540.5273495518
1699808.5132034982   598274.7849938552
1702942.5618775499   599009.9448937598
1706082.3890031243   599746.0081579578
1709228.0052343323   600482.9758965031
1712379.4212449281   601220.8492208135
1715536.6477283468   601959.6292436726
