ME   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
1000000.0   356.31656534549285   14133.890166274816   44310.7549303515
1015079.3665726911   351.02335549244617   13923.926179286267   43652.50283823826
1030386.1204416159   345.8087781624798   13717.081282322726   43004.02931607837
1045923.6904631681   340.67166524137593   13513.309140187734   42365.18909972227
1061695.5571987242   335.61086596767103   13312.564106010745   41735.83908297129
1077705.2536943213   330.62524667487423   13114.801211021777   41115.83828552044
1093956.366272093   325.7136905375149   12919.976154477972   40505.0478213775
1110452.5353336392   320.87509732096424   12728.045293739857   39903.330867751305
1127197.4561755094   316.1083831349712   12538.965634494925   39310.55263440207
1144194.879816987   311.41248019086174   12352.694821126555   38726.580333447186
1161448.613840344   306.78633656234496   12169.191127225966   38151.283149615585
1178962.5232437863   302.22891594986993   11988.413446245062   37584.53221094366
1196740.5313072442   297.73919744848547   11810.321282288187   37026.20055990684
1214786.6204712235   293.31617531914816   11634.874741040683   36476.16312497998
1233104.8332289096   288.95885876342794   11462.034520832214   35934.296692620126
1251699.2730317255   284.66627170155897   11291.761903832776   35400.47987966548
1270574.105208542   280.43745255378866   11124.018747379549   34874.59310614447
1289733.5578987505   276.27145402497564   10958.767475432616   34356.51856848877
1309181.922999407   272.16734289238605   10795.971070157542   33846.14021314406
1328923.5571266557   268.124199796643   10635.59306363305   33343.34371057311
1348962.8825916534   264.1411190357815   10477.59752968185   32848.01642964468
1369304.388391207   260.2172083623631   10321.94907582287   32360.0474124034
1389952.6312133525   256.35158878360335   10168.61283534296   31879.32734921378
1410912.2364580953   252.54339436446978   10017.554459486462   31405.74855427412
1432187.8992735425   248.7917720337043   9868.740109760765   30939.204941493732
1453784.3856076607   245.09588139272648   9722.136450356122   30479.59200072867
1475706.5332758932   241.45489452737763   9577.71064067817   30026.806774370558
1497959.2530448756   237.86799582245942   9435.430327991302   29580.747834283076
1520547.529732497   234.33438177902804   9295.263640171332   29141.31525908098
1543476.4233245333   230.85326083440495   9157.17917856592   28708.410611747106
1566751.0701081501   227.4238531848566   9021.146010960872   28281.936917581173
1590376.683822467   224.04539061091288   8887.133664651094   27861.79864247676
1614358.556826487   220.71711630527827   8755.112119614418   27447.901671520714
1638702.0612846343   217.43828470330004   8625.051801786823   27040.15328791054
1663412.65037017   214.20816131595456   8496.923576437579   26638.462152184988
1688495.8594867534   211.02602256531523   8370.698741642786   26242.738281763097
1713957.3075084253   207.89115562246369   8246.349021855865   25852.89303078728
1739802.6980382875   204.80285824781006   8123.8465615735995   25468.839070265854
1766037.8206861638   201.76043863378428   8003.163919096213   25090.490368510513
1792668.5523655273   198.76321524986486   7884.274060380181   24717.762171864368
1819700.8586099825   195.81051668990963   7767.150352982352   24350.570985716407
1847140.7949096032   192.90168152175457   7651.766560094034   23988.8345557979
1874994.5080674174   190.03605813904662   7538.096834663697   23632.471849756617
1903268.2375763487   187.21300461527795   7426.115713606996   23281.403039004894
1931968.3170169222   184.43188855998818   7315.798112102796   22935.549480837253
1961101.1754760495   181.69208697710278   7207.119317973928   22594.833700813644
1990673.3389871884   178.9929861253776   7100.054986151487   22259.17937540463
2020691.4319922593   176.33398138091272   6994.581133221215   21928.51131489394
2051162.1788255668   173.71447710171265   6890.674132051057   21602.755446535437
2082092.4052201174   171.13388649425642   6788.310706498443   21281.838797960074
2113489.0398366475   168.59163148205056   6687.467926196217   20965.689480829435
2145359.1158157093   166.08714257613417   6588.123201416012   20654.236674732027
2177709.7723531593   163.6198587475085   6490.254278007951   20347.410611318875
2210548.2562994044   161.18922730146096   6393.839232415505   20045.14255867477
2243881.9237827663   158.79470375375612   6298.856466764396   19747.364805921607
2277718.241857322   156.43575170866674   6205.284704024501   19454.010648050633
2312064.790175594   154.11184273881526   6113.102983243561   19165.014370979734
2346929.262686464   151.8224562668017   6022.290654851758   18880.311236833026
2382319.469358689   149.56707944858962   5932.8273760360125   18599.837469438884
2418243.337930408   147.34520705862352   5844.693106182998   18323.53024004347
